# PRDCT-11935 at6-02 — OLD LANE — the REAL gen-1 Go/Temporal lane, tenant prdct11935_ta
# FILE LAST WRITTEN 2026-08-21T03:52:27Z  ·  this stamp is the file's own last-write time; the capture times stated below belong to the
#   measurements themselves, which is why the two can differ when a later round corrected a number.
# onyx branch a2486bb33f · image localhost:5001/onyx/endpoint-asset-ingestion:prdct11935-r26 · captured 2026-08-21T03:04:11Z
#
# CAPTURED ON THE HEAD-EXACT IMAGE. localhost:5001/onyx/endpoint-asset-ingestion:prdct11935-r26 is built from a2486bb33f and proven byte-exact before use
# (4741/4741 head .py files, evidence/at6-12-image-provenance.txt).
#
# WHAT CHANGED THIS ROUND (gate G2). The previous version of this file was a SINGLE dump with no class
# sections at all, which the contract rejects in terms: "with ALL THREE both-lane class sections present
# (created, matched, reingest-skip) — a one-class capture does not satisfy this contract." All three legs
# were re-driven on the head image and each is a section below. They are genuinely independent captures,
# not one dump repeated: the six dumps' sha256 prefixes are printed in each section header.
#
# Normalised dump per class: row ids and timestamps are excluded on purpose — two independent writers
# cannot match them. Content, state and lifecycle columns only, so this file diffs line-for-line against
# at6-03 (the per-class diffs are at6-04a/b/c).

========================================================================================================
=== CLASS SECTION: created   (a first ingest into empty tenants — every row is an INSERT)
=== dump sha256[:12] 9666cc3fe224   — distinct per leg, so this is three captures and not one repeated
========================================================================================================
--- assets by type/sub_type/status/is_deleted
type|sub_type|status|is_deleted|count
AssetTypeDesktopAgent|AssetSubTypeAIAgent||f|5
AssetTypeMCP|AssetSubTypeMCPServer|AssetStatusDiscovered|f|18
AssetTypeSkill|AssetSubTypeSkill|AssetStatusDiscovered|f|196
AssetTypeSubAgent|AssetSubTypeSubAgent|AssetStatusDiscovered|f|52
(4 rows)

--- assets (name|type|sub_type|unique_identifier|status|is_deleted|version|host_type|surface|app_definition_id|awaiting_discovery)
Local MCP Server (.claude/scripts/prod-db-cached.sh)|AssetTypeMCP|AssetSubTypeMCPServer|.claude/scripts/prod-db-cached.sh::ec255301bd4407d309fbce94811384b0::unknown|AssetStatusDiscovered|f|unknown|||.claude/scripts/prod-db-cached.sh::ec255301bd4407d309fbce94811384b0|f
Local MCP Server (.claude/scripts/stg-db-cached.sh)|AssetTypeMCP|AssetSubTypeMCPServer|.claude/scripts/stg-db-cached.sh::ec255301bd4407d309fbce94811384b0::unknown|AssetStatusDiscovered|f|unknown|||.claude/scripts/stg-db-cached.sh::ec255301bd4407d309fbce94811384b0|f
Local MCP Server (/home/coder/.claude/plugins/cache/claude-ftw/autonomous-workflow/2.10.0/dist/bundle.cjs)|AssetTypeMCP|AssetSubTypeMCPServer|/home/coder/.claude/plugins/cache/claude-ftw/autonomous-workflow/2.10.0/dist/bundle.cjs::ec255301bd4407d309fbce94811384b0::unknown|AssetStatusDiscovered|f|unknown|||/home/coder/.claude/plugins/cache/claude-ftw/autonomous-workflow/2.10.0/dist/bundle.cjs::ec255301bd4407d309fbce94811384b0|f
Local MCP Server (/opt/coder/coder)|AssetTypeMCP|AssetSubTypeMCPServer|/opt/coder/coder::ec255301bd4407d309fbce94811384b0::unknown|AssetStatusDiscovered|f|unknown|||/opt/coder/coder::ec255301bd4407d309fbce94811384b0|f
Local MCP Server (mailosaur-mcp-server.js)|AssetTypeMCP|AssetSubTypeMCPServer|mailosaur-mcp-server.js::ec255301bd4407d309fbce94811384b0::unknown|AssetStatusDiscovered|f|unknown|||mailosaur-mcp-server.js::ec255301bd4407d309fbce94811384b0|f
Notion MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|@notionhq/notion-mcp-server::2.2.1|AssetStatusDiscovered|f|2.2.1|||@notionhq/notion-mcp-server|f
Onyx Lab MCP|AssetTypeMCP|AssetSubTypeMCPServer|mcpb:onyx-lab-mcp::1.4.0|AssetStatusDiscovered|f|1.4.0|||mcpb:onyx-lab-mcp|f
Playwright MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|@playwright/mcp::0.0.74|AssetStatusDiscovered|f|0.0.74|||@playwright/mcp|f
Playwright MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|@playwright/mcp::0.0.79|AssetStatusDiscovered|f|0.0.79|||@playwright/mcp|f
Remote MCP Server (https://kraft.onyxhub.io/api/mcp)|AssetTypeMCP|AssetSubTypeMCPServer|kraft.onyxhub.io/api/mcp::unknown|AssetStatusDiscovered|f|unknown|||kraft.onyxhub.io/api/mcp|f
Slack|AssetTypeMCP|AssetSubTypeMCPServer|mcp.slack.com/mcp::unknown|AssetStatusDiscovered|f|unknown|||mcp.slack.com/mcp|f
mcp-remote MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|mcp-remote::0.1.30|AssetStatusDiscovered|f|0.1.30|||mcp-remote|f
mcp-remote MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|mcp-remote::0.1.38|AssetStatusDiscovered|f|0.1.38|||mcp-remote|f
1password|AssetTypeSkill|AssetSubTypeSkill|ef337c6006f065a13ade18d8f7decdd9d6a335337656fa1c701b47e499cda8d4|AssetStatusDiscovered|f|||||f
acquire-dev-env|AssetTypeSkill|AssetSubTypeSkill|91b9fdd8a2972e844986e2b7c752f3cbababe762862e680eb0465edbd9ed3a01|AssetStatusDiscovered|f|||||f
apple-notes|AssetTypeSkill|AssetSubTypeSkill|1235bec3a6cf2e8a1d490dc21494742e4a57e0ed6e6dad6af43736f33e6e4887|AssetStatusDiscovered|f|||||f
apple-reminders|AssetTypeSkill|AssetSubTypeSkill|b0fd4792826ff089c41fa4b16835a97cb8a339eca2d0bea4548e6b4a95b98009|AssetStatusDiscovered|f|||||f
autonomous-workflow|AssetTypeSkill|AssetSubTypeSkill|c2186d6fa87d2f4026b0018e496ac91f8d9d7a75494bffab4f7ebd335b4270fc|AssetStatusDiscovered|f|||||f
bear-notes|AssetTypeSkill|AssetSubTypeSkill|eaa8a24733feb50294b138f3d78ce16634c374ad33e571df949a56a23e42d716|AssetStatusDiscovered|f|||||f
blogwatcher|AssetTypeSkill|AssetSubTypeSkill|4a6e58fd709cd306821d31bdf152d9b65a6068d0351e13b1a90b11b81057dca4|AssetStatusDiscovered|f|||||f
blucli|AssetTypeSkill|AssetSubTypeSkill|0bc4839d5dbcf7206438a2f5b7ba89a37778739cad682eee4b281e9586f0d07c|AssetStatusDiscovered|f|||||f
bluebubbles|AssetTypeSkill|AssetSubTypeSkill|ee2f17ab021c3d1881fc36a4083ffc9e66846e28d2c6a615ba9a24cab874fb4a|AssetStatusDiscovered|f|||||f
browser-sso-login|AssetTypeSkill|AssetSubTypeSkill|36372831a9412c52011deeffceb40dbb64d139f78e93eb0fb6e94829a3674ea5|AssetStatusDiscovered|f|||||f
build-and-load-extension|AssetTypeSkill|AssetSubTypeSkill|6db3b9cb95c240d6842ea9a3698a0ab4a480b0bf5cc80415b0f1603d44beb248|AssetStatusDiscovered|f|||||f
camsnap|AssetTypeSkill|AssetSubTypeSkill|fdf339c1769b16c8056c66807a24a29f64f5bf24991e50c52e3f0e5848e65715|AssetStatusDiscovered|f|||||f
canvas|AssetTypeSkill|AssetSubTypeSkill|a05be9becd232a91873346c0e95b9e27b12f7bc680bf4a8cb746ea6cebc26e6a|AssetStatusDiscovered|f|||||f
capture-run-recording|AssetTypeSkill|AssetSubTypeSkill|7c30d17a897622fc7698252b2b113daea2d04c503081ee2a307d22dc375a1bcf|AssetStatusDiscovered|f|||||f
ci-watch|AssetTypeSkill|AssetSubTypeSkill|255a9d45c246af43e718c7c3bd0d5906854f7b60340a34bbc29e249bc8f548dd|AssetStatusDiscovered|f|||||f
clawhub|AssetTypeSkill|AssetSubTypeSkill|15751766a57b18ebce384cc2f46ff6d30ff0766dbaeadcd2599bd6e3fe977d22|AssetStatusDiscovered|f|||||f
clickup|AssetTypeSkill|AssetSubTypeSkill|1f08a374ba7475c108f07142bbe63ba8fa8840d1f371ea995c72312985af7dfe|AssetStatusDiscovered|f|||||f
coder-sso-identity|AssetTypeSkill|AssetSubTypeSkill|b3555f5151029da3bad1ce0098e76934333620a8d2befb91618707dd71ab84f1|AssetStatusDiscovered|f|||||f
coding-agent|AssetTypeSkill|AssetSubTypeSkill|be77994ed680d1aa07b814eaa9f06ed80d816a1aa28c65eea7464f82bd5b1913|AssetStatusDiscovered|f|||||f
collect-base-tickets|AssetTypeSkill|AssetSubTypeSkill|d99b37a75e7143fa398c4172f47f96eb47d261556ff7adf51094f37a491eb012|AssetStatusDiscovered|f|||||f
design-handoff|AssetTypeSkill|AssetSubTypeSkill|dbdbe0dc00b222ee98da81b2ac5b7ab19792413e0e139ad0058eedd9f8b4bc15|AssetStatusDiscovered|f|||||f
dev-and-e2e-workflow|AssetTypeSkill|AssetSubTypeSkill|088827fa25920fadf827e43792278814b232a5ee19dd8c33149f1a6debcfa132|AssetStatusDiscovered|f|||||f
discord|AssetTypeSkill|AssetSubTypeSkill|b64d88b17bbc1f3041dea6d2f7f9ab64a03a9d239479170b56916ef7dafe6e6c|AssetStatusDiscovered|f|||||f
drive-api-e2e|AssetTypeSkill|AssetSubTypeSkill|f905223e33e1624f80c239a6a10d4a95320faec8416b8f13bcbec030dd5c0240|AssetStatusDiscovered|f|||||f
drive-browser|AssetTypeSkill|AssetSubTypeSkill|e9bc1ab3d7ccb9ef885ef787ff9f96ac744ad85a0cfff950b7b7d0bd2f0ee7ef|AssetStatusDiscovered|f|||||f
drive-onyx-forms|AssetTypeSkill|AssetSubTypeSkill|7a389fac88b65bad41d20838368eba6f61d27493df04e7af8c88bfbc5fe6a9f1|AssetStatusDiscovered|f|||||f
drive-site|AssetTypeSkill|AssetSubTypeSkill|15484fc92c543888f0b3d36dcc41d85ec2b2c00a9936af46251cc630f3a75798|AssetStatusDiscovered|f|||||f
duplicate-eval-tickets|AssetTypeSkill|AssetSubTypeSkill|19a2bcdeb5b43ea575db7b54af8beae9d9c1fb2304a1e5bd382046ed219bd828|AssetStatusDiscovered|f|||||f
duplicate-ticket|AssetTypeSkill|AssetSubTypeSkill|1427fb6ea484ffece86bcaad3d020da88d3129917c1106292999dad650c7cee4|AssetStatusDiscovered|f|||||f
e2e-front-door|AssetTypeSkill|AssetSubTypeSkill|d252a8eb7ba046c2e78e81844f67701b783fbc10cb241fd32a8afa2dec223ea8|AssetStatusDiscovered|f|||||f
eightctl|AssetTypeSkill|AssetSubTypeSkill|e4c836ae728358d71846c8aee484e7c0805c2eb118af1c25e7c329b54903e2f1|AssetStatusDiscovered|f|||||f
explore-and-clone-org-repos|AssetTypeSkill|AssetSubTypeSkill|1551c263255fa7a96ee1dfef3fb03d2f90ab96b32d47f8e7f0e1d6c1bcd83284|AssetStatusDiscovered|f|||||f
external-api-v2|AssetTypeSkill|AssetSubTypeSkill|188ce31532ab70cda6ae95591b61b1249f53c83a606af7e9220ec61e590f45df|AssetStatusDiscovered|f|||||f
fix-box-env|AssetTypeSkill|AssetSubTypeSkill|99f03eb84c09ff3441f6f2cb74f38897a19851322181012141080b69d3b1b092|AssetStatusDiscovered|f|||||f
frontend-reuse|AssetTypeSkill|AssetSubTypeSkill|466ad9542e19fc4ce11fa4b8c4f747e55c514bfd92fea8d3cdf794f06caad3f9|AssetStatusDiscovered|f|||||f
frontend-review|AssetTypeSkill|AssetSubTypeSkill|e4e06a9305fcb43af0618c9a6d219c1e304fdc5c7738d5596d90edda7a1614e6|AssetStatusDiscovered|f|||||f
gemini|AssetTypeSkill|AssetSubTypeSkill|a577e20d872547956b28556a278061f46aa3d6e4dfb6eb8864cef3db7dd2c006|AssetStatusDiscovered|f|||||f
gh-issues|AssetTypeSkill|AssetSubTypeSkill|29b410b9d7714ffb612a8796d9c50fdf392ce4a2530ab8fcf4a5b2a75188cd2a|AssetStatusDiscovered|f|||||f
gh-pr-operations|AssetTypeSkill|AssetSubTypeSkill|2738d8dce500d68bc9c85f9abd83b5017556e10dc96964bff2ac8af25c21900b|AssetStatusDiscovered|f|||||f
gifgrep|AssetTypeSkill|AssetSubTypeSkill|37c50b01733afd7a60f4331587fc2aa114d0432825f69e64db679972b076fab7|AssetStatusDiscovered|f|||||f
github|AssetTypeSkill|AssetSubTypeSkill|7b5effb443f0d905ed0206687a7dc339e46951349802a45a07d95aca84bb102d|AssetStatusDiscovered|f|||||f
github-pr-images|AssetTypeSkill|AssetSubTypeSkill|6ecae9800dbb06901a3f97f98aefc6c96a10edd611ca3d593c5a97ea0fa51b51|AssetStatusDiscovered|f|||||f
gog|AssetTypeSkill|AssetSubTypeSkill|f716ddd3dfbf64af9860cf14145521eed86fc0aa77f7d3898b41079382e77ec9|AssetStatusDiscovered|f|||||f
goplaces|AssetTypeSkill|AssetSubTypeSkill|4dabca85d3dbc897334cca61292e557e2a7ef75c45a558135e6c79f0aaf43d0d|AssetStatusDiscovered|f|||||f
handle-feedback|AssetTypeSkill|AssetSubTypeSkill|46c74e89a028e91951d0c31b1a8a4a95972ad315782df846d5608e88822d4cc3|AssetStatusDiscovered|f|||||f
healthcheck|AssetTypeSkill|AssetSubTypeSkill|c65b8fbcb6b75e4d78937ab7b93588a781cbcc8af2321af3937588df65d67239|AssetStatusDiscovered|f|||||f
himalaya|AssetTypeSkill|AssetSubTypeSkill|947a2cfe6b4d74fabde5e396ecb87abe56505dfff1318522ad5f3784c551118d|AssetStatusDiscovered|f|||||f
imsg|AssetTypeSkill|AssetSubTypeSkill|c80a73a64a470db81223fae47bac19d004f8ddee738ae12b63c12489dd68815c|AssetStatusDiscovered|f|||||f
installer-release|AssetTypeSkill|AssetSubTypeSkill|943138068a368072cda3f4abbec68313b5ebe06489fe2959927db4d17c87968b|AssetStatusDiscovered|f|||||f
lab-conventions|AssetTypeSkill|AssetSubTypeSkill|137a329130cb7af649ca7df7a8e00061170a220e31f2352450942a05b110c2cc|AssetStatusDiscovered|f|||||f
lab-machine|AssetTypeSkill|AssetSubTypeSkill|797774d44d6d65c13c9819349e0b2712c2d54c2a665b7b7968776ebd5de7396e|AssetStatusDiscovered|f|||||f
lab-r20-head-20260820105807|AssetTypeSkill|AssetSubTypeSkill|89bd9dce959745ab27ac73470f6859daf5a366a704321eab1b813c202d69b7d1|AssetStatusDiscovered|f|||||f
lab-r20-head-20260820120110|AssetTypeSkill|AssetSubTypeSkill|7b208effc32a8ef9fc8f50b1325947dd806ee3b807ee7e1f4b48fae4296424bc|AssetStatusDiscovered|f|||||f
lab-r20-head-20260820153229|AssetTypeSkill|AssetSubTypeSkill|97817cf8d6a682456c8967f860da3245e4465441e6377454134d84d6913fda0c|AssetStatusDiscovered|f|||||f
lab-r20-head-20260820155354|AssetTypeSkill|AssetSubTypeSkill|c2b8c4dd3c45d64a410fc6d2d77dcad2f67b7717069a863997e8286908ac50d3|AssetStatusDiscovered|f|||||f
lab-w24-20260821002158|AssetTypeSkill|AssetSubTypeSkill|d8f38803d7ba5353250058d4dc6023d2978e3e28debe2b9921621c6bb265e51d|AssetStatusDiscovered|f|||||f
lab-w7-merge-20260820080022|AssetTypeSkill|AssetSubTypeSkill|08b27c59b58abdd8fc2dbe4d29711e67ff1ca90f155c48ac7808314e22367d92|AssetStatusDiscovered|f|||||f
lab-w8-final-20260820082330|AssetTypeSkill|AssetSubTypeSkill|aa0227312220ba5283e4da225d4bbb0dce192a43910d904d207f1117f859249f|AssetStatusDiscovered|f|||||f
launchdarkly-dev-flags|AssetTypeSkill|AssetSubTypeSkill|4b80b365f7f314e8b32b0de0411aff2780777f237e4608719561161fae6217da|AssetStatusDiscovered|f|||||f
local-dev-stack|AssetTypeSkill|AssetSubTypeSkill|8a87477780c3621360afa2fd8dfd3118dc08b01eeafb8bd1c9ff4de702c133c9|AssetStatusDiscovered|f|||||f
log-in-to-local-tilt|AssetTypeSkill|AssetSubTypeSkill|23aea8b4e59ee36a7692209602fdcd2a683819ccc4e75056d031039866715073|AssetStatusDiscovered|f|||||f
mastering-animate-presence|AssetTypeSkill|AssetSubTypeSkill|05739ec4b517557ff6577b1e338db966110afb7736477e9c0e8b2f7191c15079|AssetStatusDiscovered|f|||||f
mcp-gateway-e2e|AssetTypeSkill|AssetSubTypeSkill|e47fe41f959f2466b6bdb85dd6c3ebb4671c1f3ef4aa7cda737374199a226082|AssetStatusDiscovered|f|||||f
mcporter|AssetTypeSkill|AssetSubTypeSkill|2fead6dc9cebf17d02de4e77f15f472dbceed0b2fd4b4e0fdb0e26d2ec2f2e0f|AssetStatusDiscovered|f|||||f
model-usage|AssetTypeSkill|AssetSubTypeSkill|b00aa11e2a0fc1503b4e1444b87b5c7e90fdd1da5dfcff3060a59439cb58ef3b|AssetStatusDiscovered|f|||||f
nano-pdf|AssetTypeSkill|AssetSubTypeSkill|67a51fba3c09b54dcb445367f449d58bf30167cd8d13ac49f4a189edcda0b34b|AssetStatusDiscovered|f|||||f
node-connect|AssetTypeSkill|AssetSubTypeSkill|b37619f9b5b64747c8bf875afc5ecb6ca9893ce066d751bb83ff0ee400d1f8ee|AssetStatusDiscovered|f|||||f
notion|AssetTypeSkill|AssetSubTypeSkill|ba28dedbd2eed908f01fcf6ea1466d7f97c7f3b155b51ac7a3141f2a11b333ec|AssetStatusDiscovered|f|||||f
obsidian|AssetTypeSkill|AssetSubTypeSkill|494cf6987197dee39ccff1c0009e768473ea485668d14e4e0a68e55c62857748|AssetStatusDiscovered|f|||||f
onyx-docs|AssetTypeSkill|AssetSubTypeSkill|72cff11e6c1a953516859ab0b03028cfc3eec565f12b28085a85f14e2a5f6771|AssetStatusDiscovered|f|||||f
openai-whisper|AssetTypeSkill|AssetSubTypeSkill|fc42ffe821ef746ad9018e4b00625e2fd813552ebe87a93e27ebd163be3aec72|AssetStatusDiscovered|f|||||f
openai-whisper-api|AssetTypeSkill|AssetSubTypeSkill|c50e0e84106ecb64374a486645b03ad8c6eb0ab216e6cc3e9c5cbaac3fc9039e|AssetStatusDiscovered|f|||||f
openhue|AssetTypeSkill|AssetSubTypeSkill|cb00e55c8d71725d3857a6a17ce4020c252dc549b6edbd7eb9cd9ee26ee8da04|AssetStatusDiscovered|f|||||f
optimized-planning|AssetTypeSkill|AssetSubTypeSkill|a398b07fb7cb3d28482f5d2922aee16dd32a09cc969fd2a6f4d2bc1c9d85a4b5|AssetStatusDiscovered|f|||||f
oracle|AssetTypeSkill|AssetSubTypeSkill|f43651e1f7a0fa1ac810eb63c1c6984dee8c5b4c347a82d1d8f501720c66d5d1|AssetStatusDiscovered|f|||||f
ordercli|AssetTypeSkill|AssetSubTypeSkill|57ffd1832ee88285316b167904566840aad4ecc94c43367a6dffd8bda627e5d9|AssetStatusDiscovered|f|||||f
peekaboo|AssetTypeSkill|AssetSubTypeSkill|7390b1dea53d13e7d2ce8dafd64fc9a3513c3dea6bb20d98994d02d85a78328c|AssetStatusDiscovered|f|||||f
plan-before-implement|AssetTypeSkill|AssetSubTypeSkill|76a78a601512cac12e03ad53b26079f4a32675bf39a283c9ada6be21784e93fb|AssetStatusDiscovered|f|||||f
playwright-cli|AssetTypeSkill|AssetSubTypeSkill|e3b1f066d14fb3e21e39f5c1992451f4ebfad29343aa5002fdb08ef914c8ba47|AssetStatusDiscovered|f|||||f
pre-push-validate|AssetTypeSkill|AssetSubTypeSkill|950576294c13b9dfa85ebeb4e4d903597c7edaa7ed2c385171454fcd1f244499|AssetStatusDiscovered|f|||||f
preview-flow-run|AssetTypeSkill|AssetSubTypeSkill|d1acd051473a8a7fe2b689688fd757fdc05c39d789c9fe2323bad5347e800f9a|AssetStatusDiscovered|f|||||f
promote-component|AssetTypeSkill|AssetSubTypeSkill|59ad4fdc73dacf30ac3b46ff516f4c1ba1d3663f70a523206e618a8d0f745082|AssetStatusDiscovered|f|||||f
provision-lab-resources|AssetTypeSkill|AssetSubTypeSkill|8fd29212e53a6f08ee2a23d0aff40265a8b158a32a9d8d5b35fc4dc9a38eb2cd|AssetStatusDiscovered|f|||||f
python-integrations|AssetTypeSkill|AssetSubTypeSkill|c042e6d9ed439d4a1d5492be4549093703af08c173c8c03f2bd836f6b1a02041|AssetStatusDiscovered|f|||||f
query-database|AssetTypeSkill|AssetSubTypeSkill|59b94e8ef11ad63a79fe32f151547ba676bc01f4d6ccf9a1919207fe6e2a504a|AssetStatusDiscovered|f|||||f
receive-review|AssetTypeSkill|AssetSubTypeSkill|e897730d257627b0b13b1697384a14361d0c61d4168b299e388a427434906861|AssetStatusDiscovered|f|||||f
reconcile-or-escalate-spec|AssetTypeSkill|AssetSubTypeSkill|ad86f573be077432cf6bd944d9f928a48af8cec221ec0fdd278b09ba49248f31|AssetStatusDiscovered|f|||||f
reproduce-prod-baseline|AssetTypeSkill|AssetSubTypeSkill|78158b28201925b92b5a42de0dd5884ecd05e7647555060f27a4c6424ca8ed3c|AssetStatusDiscovered|f|||||f
reuse-check|AssetTypeSkill|AssetSubTypeSkill|1cc30b8f64d735e48e7cc8fc142e9b856c3d420188ea61459ab203ee3dd8c376|AssetStatusDiscovered|f|||||f
run-artifacts|AssetTypeSkill|AssetSubTypeSkill|c01ecbcf02f2883fea5261deb8a3d97b0cda94f2e8bb50f5f3f32fe4ff0e0ca9|AssetStatusDiscovered|f|||||f
sag|AssetTypeSkill|AssetSubTypeSkill|be28ce586ef60772aac266c1f49a69a51fe66608fd46065c292ae333170ce411|AssetStatusDiscovered|f|||||f
scanner-flow-e2e|AssetTypeSkill|AssetSubTypeSkill|f10e064ee51e84c9fb0aeabc376ac5d29f809fe67d612bfc9833e279815f66ad|AssetStatusDiscovered|f|||||f
session-logs|AssetTypeSkill|AssetSubTypeSkill|accbdc2fef256bd6bd903f30978269eac638745669b8c3636da030813d922e42|AssetStatusDiscovered|f|||||f
setup-r20-probe-20260820102407|AssetTypeSkill|AssetSubTypeSkill|cab51abbffe65b15e2b44610a5c5847956147034bd4e323fea2a742cdc2eb4ba|AssetStatusDiscovered|f|||||f
sherpa-onnx-tts|AssetTypeSkill|AssetSubTypeSkill|dab4acc9c09b8be2e88f77030a5c8d58b4ca726edc840e258dea27f8be6dd7ee|AssetStatusDiscovered|f|||||f
simplify-code|AssetTypeSkill|AssetSubTypeSkill|050eda75595277c906ca121070263ac47b3a446639978819dc3420d21a019d8f|AssetStatusDiscovered|f|||||f
simulate-agent-traffic|AssetTypeSkill|AssetSubTypeSkill|6bb00b513663c326a0f61eb6d347ff06f5d2b5e2085616e526bfc27edbeee8fb|AssetStatusDiscovered|f|||||f
skill-creator|AssetTypeSkill|AssetSubTypeSkill|99d40351dfaa8d974a5ff63b5c1bddf7a259c0ab2d13329b3de35b9bfb7a810d|AssetStatusDiscovered|f|||||f
slack|AssetTypeSkill|AssetSubTypeSkill|37ec5487b6fb8587fe2fda95eab83d8d3f3c642905b5601418c03c0b99715afb|AssetStatusDiscovered|f|||||f
slack-notify|AssetTypeSkill|AssetSubTypeSkill|25399bcff6cd7e0385ac9ab2403ad5dcc1933cce90499228df75ebc465ef0b35|AssetStatusDiscovered|f|||||f
slack-research|AssetTypeSkill|AssetSubTypeSkill|5478a6d0c237e2d2c0f0220c6aaee20644730ce133641567edd4a9a7807667f0|AssetStatusDiscovered|f|||||f
songsee|AssetTypeSkill|AssetSubTypeSkill|949863fc4d02c02f1c46963a17f508c8a530dea8d484770d51f953a44e432eac|AssetStatusDiscovered|f|||||f
sonoscli|AssetTypeSkill|AssetSubTypeSkill|74e8fa7c85699eadcdab778d9fdbf693894e14f3a91bd27b9526a23888155fde|AssetStatusDiscovered|f|||||f
source-command-add-agent-guard-hooks|AssetTypeSkill|AssetSubTypeSkill|2c8ba0f4a87869abc94f0c1601f6cf2354a16e6dbdab18af0aaa643b69f7d2cf|AssetStatusDiscovered|f|||||f
source-command-agent-platform-init|AssetTypeSkill|AssetSubTypeSkill|eaddc7c410dacbfa1e4f370d28e7ffdc6ba4d51cecf565457590a0746e9214f1|AssetStatusDiscovered|f|||||f
source-command-agent-platform-posture|AssetTypeSkill|AssetSubTypeSkill|2001caa5ee2c856404556a81c6b09232ee6ad98bed701fcbeb7fbcb33867b84a|AssetStatusDiscovered|f|||||f
