# PRDCT-11935 at10-23 — per-artifact evidence currency against the shipped head
# FILE LAST WRITTEN 2026-08-23T20:23:13Z  ·  this stamp is the file's own last-write time; the capture times stated below belong to the
#   measurements themselves, which is why the two can differ when a later round corrected a number.
# onyx head 2b60fdc4df25188104e737e6311087681355eff8 · captured 2026-08-23T20:23:12Z
#
# The round-39 gate found the PR body claiming 'every artifact in this bundle is stamped
# 16b7bca77c' while the head was 2b60fdc4 and the run's own provenance file marked every at1..at9
# artifact '6 … 25 lane-touching commit(s) landed after it'. Both halves of that were true and
# together they were a false claim. This file is the per-artifact answer: what was re-driven on the
# shipped head this round, and for anything not re-driven, the MEASURED reason it still holds.

=== SUMMARY ===
    at1..at9 artifacts in the bundle              : 177
    RE-DRIVEN or REGENERATED this round (>=18:45Z) : 45
    not re-driven, lane code moved under it        : 73
    not re-driven, lane code did NOT move          : 0
    not re-driven, no parseable sha in the header  : 59

=== RE-DRIVEN OR REGENERATED THIS ROUND ===
    artifact                                       stamped     written
    at6-16-durable-retry-followup.txt              a2486bb33f  18
    at6-17-controlled-leg-r34.txt                  a2486bb33f  18
    at6-18-v1-classification.txt                   a2486bb33f  18
    at6-19-closure-table.md                        a2486bb33f  18
    at7-00-isolation.txt                           a2486bb33f  18
    at7-01-real-install.txt                        a2486bb33f  18
    at7-02-scan-payload-ref.txt                    a2486bb33f  18
    at7-03-db-rows-agent.txt                       a2486bb33f  18
    at7-04-db-rows-mcp.txt                         a2486bb33f  18
    at7-05-db-rows-skills.txt                      a2486bb33f  18
    at7-06-db-rows-subagents.txt                   a2486bb33f  18
    at7-07-db-rows-usage.txt                       a2486bb33f  18
    at7-08-fidelity.txt                            a2486bb33f  18
    at7-23-attestations.txt                        a2486bb33f  18
    at7-24-removal.txt                             0665ecc545  18
    at7-28-lifecycle-ui-redrive.txt                a2486bb33f  18
    at7-29-posture-bridge.txt                      0665ecc545  18
    at7-30-agent-lifecycle-control.txt             a2486bb33f  18
    at7-31-inventory-read-model.txt                0665ecc545  18
    at7-37-list-surface-revived.txt                0665ecc545  18
    at7-40-usage-ai-activity.txt                   a2486bb33f  18
    at7-41-lifecycle-head.txt                      a2486bb33f  18
    at7-44-last-seen-render.txt                    a2486bb33f  18
    at7-48-lastscanned-writer.txt                  a2486bb33f  18
    at7-49-recordings-index.txt                    a2486bb33f  18
    at8-03-helm-equivalence.txt                    cb96081d70  23
    at8-05-render-and-boot.txt                     a2486bb33f  18
    at8-08-render-drift.txt                        dfe23b9e83  29

=== NOT RE-DRIVEN, LANE CODE UNCHANGED — inert by measurement ===

=== NO PARSEABLE SHA IN THE HEADER (a documentation gap, listed rather than hidden) ===
    at1-10-ld-conditions-r29.txt                   —
    at1-12-ld-cutover-state.txt                    —
    at10-02-image-check.txt                        —
    at10-03-ci.txt                                 —
    at10-04-ld-supersession-read.txt               —
    at10-05-review-responses.txt                   —
    at10-20-service-identity-fix.txt               —
    at10-22-scope-revert.txt                       —
    at11-01-diff-audit.txt                         —
    at11-02-aws-lane-base.txt                      —
    at11-03-aws-lane-head.txt                      —
    at11-04-aws-lane-diff.txt                      —
    at11-04-normalize-dump.py                      —
    at11-05-gen1-untouched.txt                     —
    at11-06-single-pr.txt                          —
    at11-07-sibling-consumers-aws.txt              —
    at11-08-aws-cell-config.yaml                   —
    at11-08-flux-render-aws-cells.txt              —
    at11-08-real-cell-probe.py                     —
    at11-09-r46-queue-supersession.txt             —
    at5-04-replay-scanner.txt                      —
    at5-05-replay-mcpgw.txt                        —
    at6-09-fresh-tenant-parity.txt                 —
    at7-09-db-rows-posture.txt                     —
    at7-09-db-rows-tools-posture.txt               —
    at7-09-db-rows-tools.txt                       —
    at7-10-ui-desktop-agent.png                    —
    at7-10b-ui-desktop-agent-detail.png            —
    at7-11-ui-mcp.png                              —
    at7-12-ui-skills.png                           —
    at7-13-ui-subagents.png                        —
    at7-14-ui-usage.png                            —
    at7-14b-ui-usage-route-404.png                 —
    at7-15-ui-lifecycle-mcp.png                    —
    at7-15b-ui-lifecycle-mcp-list.png              —
    at7-16-ui-lifecycle-skills.png                 —
    at7-17-ui-lifecycle-subagents.png              —
    at7-18-lifecycle-db.txt                        —
    at7-19-ui-tools.png                            —
    at7-19b-ui-lifecycle-tools.png                 —
    at7-20-ui-posture.png                          —
    at7-21-ui-lifecycle-agent.png                  —
    at7-21b-ui-lifecycle-agent-control.png         —
    at7-22-ui-lifecycle-posture.png                —
    at7-32-list-desktop-agent.png                  —
    at7-33-list-mcp.png                            —
    at7-34-list-skill.png                          —
    at7-35-list-subagent.png                       —
    at7-36-list-hermes-usage.png                   —
    at7-38-ai-activity-list.png                    —
    at7-39-ai-activity-session.png                 —
    at7-42-lifecycle-followup-ticket.txt           —
    at7-43-veto-permalink-r26.txt                  —
    at7-45-lifecycle-followup-ticket-r28.txt       —
    at7-46-posture-followup-ticket-r30.txt         —
    at7-46-veto-permalink-r28.txt                  —
    at7-47-posture-path-identity.txt               —
    at8-04-comment-fix.diff                        —
    at8-07-instance-identity.diff                  —
